Date,AAPL,ADBE,ADI,ADSK,ALGN,AMAT,AMGN,AMZN,ANSS,ASML,ATVI,BKNG,BKR,CHTR,CMCSA,CRWD,CSX,DXCM,EXC,FANG,FTNT,HON,ILMN,INTC,INTU,KDP,LRCX,LULU,MAR,MCHP,MDLZ,MELI,META,MRNA,MU,NFLX,NVDA,NXPI,PANW,PDD,QCOM,REGN,ROST,SBUX,SNPS,TEAM,TXN,VRSK,WBD,WDAY,^NDX
2020-01-01,73.08149719238281,333.3900146484375,113.10154724121094,187.5,283.05999755859375,59.81600570678711,217.80679321289062,95.34300231933594,256.6700134277344,290.7713928222656,59.304386138916016,2068.050048828125,22.723163604736328,499.1600036621094,41.729183197021484,54.75,23.453948974609375,57.86249923706055,29.408031463623047,85.4186019897461,22.378000259399414,167.18699645996094,329.69000244140625,53.90736770629883,260.8934631347656,26.33316421508789,284.7414855957031,233.6999969482422,143.47756958007812,53.098297119140625,50.38500213623047,625.0,213.05999755859375,17.780000686645508,57.680694580078125,330.75,59.77553176879883,122.50466918945312,80.54666900634766,41.209999084472656,83.3783950805664,373.1300048828125,115.72439575195312,82.71874237060547,142.9600067138672,128.14999389648438,119.44432067871094,151.26657104492188,32.06999969482422,172.9499969482422,8846.4501953125
2020-01-08,76.58139038085938,344.6300048828125,113.05426025390625,191.11000061035156,287.6099853515625,60.52463150024414,219.60018920898438,93.47200012207031,262.8699951171875,294.430419921875,59.01935958862305,2071.47998046875,21.75410270690918,509.6199951171875,42.9527473449707,59.2400016784668,23.987287521362305,58.76499938964844,29.491722106933594,80.84735107421875,23.3439998626709,169.86026000976562,317.1099853515625,54.364749908447266,266.9734802246094,25.90711784362793,289.0861511230469,243.77000427246094,145.66526794433594,52.82487106323242,50.637290954589844,652.0700073242188,219.05999755859375,20.0,56.93828582763672,338.69000244140625,61.60669708251953,126.9728012084961,80.0,38.02000045776367,84.86845397949219,387.6199951171875,115.8802490234375,85.66556549072266,148.19000244140625,134.22000122070312,120.60726165771484,153.87564086914062,31.899999618530273,179.97999572753906,9033.419921875
2020-01-15,77.53413391113281,350.0,112.84617614746094,195.83999633789062,273.1700134277344,61.34974670410156,217.40420532226562,94.5999984741211,273.82000732421875,290.3918762207031,60.3658447265625,1990.5699462890625,20.585792541503906,503.5899963378906,44.137840270996094,62.2400016784668,24.041906356811523,57.904998779296875,30.6312198638916,78.24279022216797,23.527999877929688,170.31211853027344,328.3299865722656,55.389286041259766,279.5884704589844,25.437788009643555,296.6986389160156,242.52000427246094,142.91331481933594,52.402732849121094,51.89878845214844,658.4600219726562,221.44000244140625,20.940000534057617,58.37361526489258,338.1099853515625,61.7711181640625,128.16876220703125,81.07666778564453,39.34000015258789,88.59832000732422,363.7099914550781,114.75028991699219,87.11546325683594,153.5800018310547,131.32000732421875,120.78264617919922,158.21099853515625,31.969999313354492,182.30999755859375,9166.6298828125
2020-01-22,77.80845642089844,354.6300048828125,108.1170654296875,200.02999877929688,267.82000732421875,58.4278678894043,205.7288360595703,92.6624984741211,278.3599853515625,282.3924255371094,58.99970245361328,1917.449951171875,19.834091186523438,499.3399963378906,41.09578323364258,59.06999969482422,24.488496780395508,58.73500061035156,30.727787017822266,70.09251403808594,23.507999420166016,165.16314697265625,314.2799987792969,61.57313919067383,282.6785888671875,26.789461135864258,289.9800109863281,239.35000610351562,139.82479858398438,49.98503112792969,51.25402069091797,674.719970703125,217.7899932861328,22.360000610351562,55.898902893066406,348.5199890136719,61.778602600097656,126.9440689086914,79.7066650390625,36.959999084472656,83.54708862304688,344.0799865722656,111.5162353515625,83.41543579101562,152.0500030517578,149.27000427246094,118.17979431152344,161.65377807617188,30.520000457763672,186.67999267578125,9090.9296875
2020-01-29,78.09254455566406,366.739990234375,106.36730194091797,203.94000244140625,256.5199890136719,61.16530227661133,202.95635986328125,102.4834976196289,289.2200012207031,291.19952392578125,58.19377517700195,1864.510009765625,19.29974365234375,531.75,41.319740295410156,63.55500030517578,24.98649024963379,60.92499923706055,30.959548950195312,64.86569213867188,24.016000747680664,164.9278106689453,296.0,59.88080978393555,285.3861083984375,26.911487579345703,312.769775390625,247.99000549316406,145.91273498535156,48.79056930541992,53.664878845214844,709.8599853515625,209.8300018310547,20.8700008392334,54.9387092590332,369.010009765625,61.5693244934082,124.86788940429688,80.0633316040039,36.5099983215332,83.34090423583984,356.0,113.33782196044922,83.20830535888672,155.80999755859375,152.08999633789062,116.73069763183594,164.91018676757812,29.739999771118164,194.6999969482422,9334.0595703125
2020-02-05,78.2786865234375,369.2799987792969,110.54782104492188,205.8000030517578,264.4599914550781,62.56314468383789,209.4986114501953,107.54000091552734,288.2900085449219,307.5292663574219,60.139793395996094,1909.300048828125,20.214248657226562,530.9400024414062,41.7956428527832,65.19000244140625,25.227453231811523,61.97999954223633,31.764280319213867,64.23670959472656,23.464000701904297,168.63658142089844,296.0,61.66461181640625,291.2719421386719,26.911487579345703,313.0292663574219,251.5800018310547,145.70486450195312,52.22044372558594,55.01047134399414,651.6199951171875,207.19000244140625,21.350000381469727,56.67101287841797,373.69000244140625,66.74140930175781,129.6613311767578,82.27666473388672,36.0,84.34365844726562,396.75,116.60108947753906,82.38921356201172,158.22000122070312,149.0,121.50637817382812,164.67478942871094,30.209999084472656,193.07000732421875,9517.8603515625
2020-02-12,78.31470489501953,378.8500061035156,112.14627075195312,207.05999755859375,269.92999267578125,63.252357482910156,202.84654235839844,107.78350067138672,290.8999938964844,300.88250732421875,62.64603042602539,1976.280029296875,19.091236114501953,537.5999755859375,43.064720153808594,66.04000091552734,25.545528411865234,74.0,32.43381881713867,66.05279541015625,23.889999389648438,168.89073181152344,299.9200134277344,60.80080795288086,297.7954406738281,27.09922218322754,312.7120361328125,259.2300109863281,143.47756958007812,51.30900573730469,55.748680114746094,728.4500122070312,217.8000030517578,18.90999984741211,57.165950775146484,387.7799987792969,73.88665771484375,128.0826416015625,83.07333374023438,36.439998626708984,82.49746704101562,397.6499938964844,119.31885528564453,84.40010833740234,162.9199981689453,153.8800048828125,122.00841522216797,168.27452087402344,30.299999237060547,199.3800048828125,9629.7998046875
2020-02-19,70.72382354736328,347.79998779296875,108.4480972290039,186.72999572753906,229.61000061035156,57.31685256958008,193.8643341064453,98.63700103759766,266.44000244140625,276.95245361328125,58.48862838745117,1726.5799560546875,17.00041961669922,517.989990234375,40.283939361572266,57.7400016784668,24.279661178588867,70.98999786376953,30.663408279418945,59.497135162353516,21.010000228881836,157.95266723632812,269.95001220703125,54.90825653076172,279.3824462890625,27.146156311035156,280.8775634765625,238.80999755859375,122.82804870605469,46.617515563964844,53.28175735473633,630.0,196.77000427246094,23.760000228881836,51.573089599609375,360.0899963378906,65.28646087646484,115.5968017578125,65.65333557128906,32.79999923706055,75.17830657958984,442.3500061035156,113.72745513916016,77.74117279052734,142.16000366210938,144.47999572753906,110.052978515625,159.70187377929688,27.420000076293945,175.47000122070312,8834.8701171875
2020-02-26,71.02824401855469,348.3399963378906,101.39226531982422,180.5500030517578,224.55999755859375,56.51835250854492,188.3722381591797,95.44950103759766,249.07000732421875,276.67022705078125,57.74167251586914,1683.02001953125,15.092212677001953,495.0299987792969,38.669593811035156,56.47999954223633,22.1398868560791,68.22000122070312,28.666725158691406,54.71326446533203,20.70599937438965,152.3894805908203,273.0,51.451786041259766,263.1374816894531,25.860183715820312,280.1471252441406,227.1300048828125,113.1269302368164,43.03404235839844,51.19795608520508,624.72998046875,185.88999938964844,27.90999984741211,51.276126861572266,368.7699890136719,66.2431411743164,111.52095794677734,60.68000030517578,35.790000915527344,73.62264251708984,461.54998779296875,106.39240264892578,74.3454818725586,140.1199951171875,145.72000122070312,105.80443572998047,157.32823181152344,26.239999771118164,166.55999755859375,8594.490234375
2020-03-04,70.05115509033203,332.3800048828125,97.41607666015625,164.47999572753906,228.16000366210938,54.6973762512207,190.56541442871094,94.59100341796875,229.1199951171875,272.25213623046875,59.668033599853516,1559.0,12.563146591186523,476.760009765625,36.48603439331055,46.90999984741211,20.272512435913086,69.79499816894531,27.972597122192383,26.453554153442383,18.143999099731445,153.0250244140625,268.1499938964844,49.622432708740234,264.5304260253906,23.70125389099121,276.40814208984375,204.1199951171875,109.30685424804688,39.21723556518555,51.310096740722656,599.0700073242188,178.19000244140625,22.34000015258789,47.375972747802734,364.1300048828125,65.08369445800781,102.23074340820312,55.823333740234375,37.689998626708984,73.93190002441406,475.0199890136719,99.21321105957031,70.8173828125,135.19000244140625,135.58999633789062,104.23333740234375,153.73831176757812,25.079999923706055,150.30999755859375,8372.26953125
